ID,SMILES,pIC50,Group,Chemical family,Journal,Year,PubMed ID,DOI
CHEMBL560840,Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCSCC3)c2)o1,4.64,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL565191,Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCOCC3)c2)o1,4.08,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL554736,Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2OC2CCOCC2)o1,4.38,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550965,Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2N2CCOCC2)o1,4.42,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550771,Nc1ccccc1-c1nnc(C(=O)NCc2cccc3nsnc23)o1,5.22,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL560503,Nc1ccccc1-c1nnc(C(=O)NCc2cccc(N3CCOCC3)c2)o1,4.48,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550287,Nc1ccccc1-c1nnc(C(=O)NCc2cccc(-n3cccn3)c2)o1,4.77,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550025,Nc1ccccc1-c1nnc(C(=O)NCc2ccc3c(c2)OCO3)o1,5.22,Test,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL563328,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(Oc3ccccc3)cc2)o1,5.22,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550773,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(Cn3cccn3)cc2)o1,5.1,Test,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL549676,Nc1ccccc1-c1nnc(C(=O)NCc2ccc(C(F)(F)F)c(F)c2)o1,5,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550836,Nc1ccccc1-c1nnc(C(=O)NCc2c(N)cccc2F)o1,4.28,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL563023,Nc1ccccc1-c1nnc(C(=O)Nc2nnc(-c3ccc(Cl)cc3)s2)o1,5.4,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL562581,Nc1ccccc1-c1nnc(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)o1,5.52,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL552725,Nc1ccccc1-c1nnc(C(=O)NC2CCCCCC2)o1,4.6,Test,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL564809,Nc1ccccc1-c1nnc(C(=O)NC2CCCCC2)o1,4.11,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL554300,Nc1ccccc1-c1nnc(C(=O)Nc2ccc3n[nH]cc3c2)o1,4.39,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL563197,Nc1ccccc1-c1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1,4.21,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL572120,Nc1ccccc1-c1nnc(C(=O)NC2Cc3ccccc3C2)o1,4.96,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL560043,Nc1ccccc1-c1nnc(C(=O)N=c2cc(-c3cccs3)[nH][nH]2)o1,4.08,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL561239,Nc1ccccc1-c1nnc(C(=O)N[C@H]2CCc3ccccc32)o1,4.77,Test,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL550633,Nc1ccccc1-c1nnc(C(=O)N[C@@H]2c3ccccc3C[C@@H]2O)o1,4.49,Test,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL4168973,NC1=c2nc(Cc3ccccc3)[nH]c2=NS(=O)(=O)N1,4.64,Train,Imidazothiadiazine,European journal of medicinal chemistry.,2017,28499168,10.1016/j.ejmech.2017.04.075
CHEMBL4172128,NC1=c2nc(C3CCCCC3)[nH]c2=NS(=O)(=O)N1,4.92,Train,Imidazothiadiazine,European journal of medicinal chemistry.,2017,28499168,10.1016/j.ejmech.2017.04.075
CHEMBL214219,NC(=S)NN=C1CCS(=O)(=O)c2ccc(Br)cc21,6.68,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL213224,NC(=S)NN=C1CCS(=O)(=O)c2c(Br)cc(Br)cc21,6.09,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL215671,NC(=S)NN=C1CCOc2ccc(Br)cc21,6.96,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL215980,NC(=S)NN=C1CCCc2ccc(Br)cc21,7.77,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL182790,NC(=S)NN=C(COc1ccccc1)c1ccc(Cl)c(Cl)c1,7.52,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL3613569,NC(=S)NN=C(COc1ccc(Br)cc1)c1ccc(-c2ccccc2)cc1,6.22,Train,Thiosemicarbazone,European journal of medicinal chemistry.,2015,26231082,10.1016/j.ejmech.2015.06.048
CHEMBL183005,NC(=S)NN=C(CCc1ccccc1)c1ccc(Cl)c(Cl)c1,7.4,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL183767,NC(=S)NN=C(Cc1ccccc1)c1ccc(Cl)c(Cl)c1,7.1,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL384296,NC(=S)NN=C(c1cccc(Br)c1)c1cccc(Br)c1,7.62,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL181902,NC(=S)NN=C(c1ccc(Cl)c(Cl)c1)C1CCCCC1,5.52,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL183396,NC(=S)NN=C(c1ccc(Cl)c(Cl)c1)C1CC1c1ccccc1,7.52,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL181752,NC(=S)NN=C(C=Cc1ccccc1)c1ccc(Cl)c(Cl)c1,7.52,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL90197,NC(=S)N1CCC(c2cccc(Cl)c2)=N1,6.57,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL91640,NC(=S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,7.1,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL314026,NC(=S)N1CCC(c2cccc(Br)c2)=N1,6.7,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL329346,NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,7.22,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL119370,NC(=S)N=N[C@@H]1C(=O)Nc2ccc(I)cc21,5.05,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL119756,NC(=S)N=N[C@@H]1C(=O)Nc2ccc(F)cc21,4.52,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL119213,NC(=S)N=N[C@@H]1C(=O)Nc2ccc(Cl)cc21,4.68,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL120254,NC(=S)N=N[C@@H]1C(=O)Nc2ccc([N+](=O)[O-])cc21,4.52,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL385682,NC(=S)N/N=C1\CCCc2c(Br)cccc21,5.92,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL94235,NC(=S)N/N=C/c1cccn1S(=O)(=O)c1ccccc1,5.55,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL90688,NC(=S)N/N=C/c1cccc(C(F)(F)F)c1,6.32,Test,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL91844,NC(=S)N/N=C/c1cccc(Br)c1,5.89,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL470902,NC(=S)N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,4.37,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2009,19606868,10.1021/jm9004835
CHEMBL415311,NC(=S)N/N=C/c1ccc(Cl)c(Cl)c1,6.34,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL329128,NC(=S)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,6.85,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL327577,NC(=S)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,6.52,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL90060,NC(=S)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,6.55,Test,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL421363,NC(=S)N/N=C/c1cc(Cl)cc(Cl)c1,6.25,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL90772,NC(=S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.49,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL376207,NC(=S)N/N=C(\c1ccccc1)c1cccc(Br)c1,7.1,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL3613582,NC(=S)N/N=C(/COc1ccc(F)cc1)c1ccc(Br)cc1,6.4,Train,Thiosemicarbazone,European journal of medicinal chemistry.,2015,26231082,10.1016/j.ejmech.2015.06.048
CHEMBL3613583,NC(=S)N/N=C(/COc1ccc(F)c(Cl)c1)c1ccc(Br)cc1,7.15,Train,Thiosemicarbazone,European journal of medicinal chemistry.,2015,26231082,10.1016/j.ejmech.2015.06.048
CHEMBL3613587,NC(=S)N/N=C(/COc1ccc(Cl)c(Cl)c1)c1ccc(Br)cc1,8.1,Train,Thiosemicarbazone,European journal of medicinal chemistry.,2015,26231082,10.1016/j.ejmech.2015.06.048
CHEMBL333137,NC(=S)/N=N/[C@@H]1C(=O)Nc2ccccc21,5.1,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL418861,NC(=S)/N=N/[C@@H]1C(=O)Nc2ccc(Br)cc21,4.7,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL554709,NC(=O)c1ccsc1NC(=O)COC(=O)c1cc(Br)ccc1N,4.05,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL512308,NC(=[NH2+])N/N=C/c1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,4.49,Test,Hydrazone,Bioorganic & medicinal chemistry.,2008,18547811,10.1016/j.bmc.2008.05.038
CHEMBL4161560,N=C1NS(=O)(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)n(Cc3ccccc3)c21,4.09,Test,Imidazothiadiazine,European journal of medicinal chemistry.,2017,28499168,10.1016/j.ejmech.2017.04.075
CHEMBL4176677,N=C1NS(=O)(=O)N(Cc2ccc(Cl)cc2)c2[nH]c(-c3ccccc3F)nc21,4.07,Train,Imidazothiadiazine,European journal of medicinal chemistry.,2017,28499168,10.1016/j.ejmech.2017.04.075
CHEMBL567769,N#Cc1nc(NCCO)nc(Nc2ccccc2)n1,5.8,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567137,N#Cc1nc(NCCCCO)nc(Nc2ccccc2)n1,6.05,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567135,N#Cc1nc(NCC2CC2)nc(Nc2ccccc2)n1,6.05,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567340,N#Cc1nc(NCC(F)F)nc(Nc2cc(F)cc(F)c2)n1,9,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL566905,N#Cc1nc(NCC(F)F)c2ncn(-c3cccc(Cl)c3)c2n1,7.15,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567786,N#Cc1nc(NCC(F)F)c2ncn(-c3cc(F)cc(F)c3)c2n1,7.3,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL578161,N#Cc1nc(Nc2ccccc2)nc(NC2CCCCC2)n1,5.85,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL566069,N#Cc1nc(Nc2ccccc2)nc(NC2CCCC2)n1,6.15,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL585873,N#Cc1nc(NC2CCCC2)c2ncn(-c3cc(F)cc(F)c3)c2n1,6.5,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567784,N#Cc1nc(Nc2cccc(F)c2)nc(NC2CCCC2)n1,8,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567785,N#Cc1nc(Nc2cccc(Cl)c2)nc(NC2CCCC2)n1,8.7,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL578162,N#Cc1nc(Nc2cccc(Cl)c2)c2ncn(C3CCCC3)c2n1,9.52,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL579273,N#Cc1nc(Nc2cccc(C(F)(F)F)c2)nc(NC2CCCC2)n1,7.4,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
